Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-01_6Dec12_Lion_12-10-03	0.000609	0	19.7992	41.4158	48.89	53.84	35.37	38.86	51.47	4.958	6.455	488	3818	1.59	1.178	4	2	798.4023	0.00495	0.349835	0	0.105	45.69	261915	16.096	1712650	-0.020502	0.271676	-10.47	-10.335	5.709	129.4	804	0.1002	0.1511	0.1642	0.2158	7.55	-7.55	1616	1363	1294	0.017002
QC_Shew_12_02_Run-02_12Dec12_Lion_12-10-04	0.002116	0.002116	22.5466	31.4016	65.17	73.91	50.96	44.13	65.92	4.243	3.19	450	4449	1.628	1.196	6	8	796.4801	0.011572	0.355834	0	0.065	50.98	581140	20.468	2004500	-0.053101	0.265623	-25.631	-25.342	5.551	118.2	756	0.0935	0.1173	0.1299	0.184	7.47	-7.466	1395	1104	1029	0.015549
QC_Shew_12_02_Run-02_23Aug12_Eagle_12-06-13	0.004532	0.012085	13.724	48.1638	35.72	43.44	27.7	31.97	61.3	5.591	4.4	232	2326	1.498	1.134	0	0	881.9376	0.030366	0.356021	0	1.657	31.06	87322	57.286	2.55E+05	0.011669	0.216149	5.73	6.568	50.831	103.2	845	0.0217	0.0756	0.2181	0.2584	7.19	-7.192	1301	977	901	0.021088
QC_Shew_12_02_Run-02_24Aug12_Eagle_12-06-13	0.000608	0.004863	15.8912	51.6009	33.36	47.11	22.31	24.08	51.14	5.94	5.412	273	2735	1.472	1.094	0	0	850.3865	0.042142	0.402107	0	0.43	41.68	68266	13.331	2.58E+05	-0.02197	0.217666	-10.457	-10.349	46.83	126.8	845	0.0293	0.1926	0.2346	0.2604	7.36	-7.355	1599	1402	1291	0.026336
QC_Shew_12_02_Run-02_28Aug12_Eagle_12-06-13	0.001359	0.001359	15.3193	24.0873	62.53	82.66	35.6	24.22	78.59	7.077	9.75	240	2403	1.544	1.101	0	0	747.3651	0.002008	0.475904	0	7.096	39.62	21246	13.36	102091	-0.09532	0.238867	-53.968	-53.891	98.323	129.2	823	0.0248	0.1002	0.1202	0.1513	7.07	-7.073	728	663	631	0.011094
QC_Shew_12_02_Run-02_4Sep12_Eagle_12-06-13	0	0.002327	15.6298	41.2033	39.88	51.68	39.98	26.24	57.96	6.46	5.957	270	2703	1.48	1.138	0	0	842.0917	0.030534	0.375136	0	0.3935	39.94	74369	11.929	276847	-0.035271	0.230639	-17.78	-17.705	43.427	115.3	846	0.0046	0.1277	0.1943	0.2152	7.22	-7.224	1269	1128	1040	0.015385
QC_Shew_12_02_Run-02_5Sep12_Eagle_12-06-13	NULL	NULL	0	NULL	10.01	12.07	3.49	13.37	12.33	0	0	0	0	0	0	11	20	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96	-4.959	0	0	0	0
QC_Shew_12_02_Run-02_6Dec12_Lion_12-10-04	0.054393	0	19.0271	12.561	70.47	59.57	80.58	81.65	36.37	3.371	5	391	3220	1.555	1.155	7	4	811.4252	0	0.414201	0	2.136	9.884	10834	72.047	228916	0.006275	0.262532	3.009	3.384	47.297	59.915	812	0.0144	0.063	0.0635	0.0875	6.99	-6.989	474	203	192	0.005208
QC_Shew_12_02_Run-02a_25Sep12_Eagle_12-06-13	0	0	1.3054	2.2981	48.77	40.24	46.11	80.79	35.45	0	0	19	199	1.267	1.208	0	0	892.469	0	0	0	10	10.18	829.402	1.287	5632	-0.165918	0.220476	-50.496	-18.481	100	29.16	242	0	0	0	0.0023	6.66	-6.661	2	2	2	0.5
QC_Shew_12_02_Run-03_10Dec12_Lion_12-10-03	0.000548	0.002193	20.1783	45.098	50.74	60.65	29.66	38.72	63.22	5.111	6.081	403	3980	1.611	1.16	6	3	823.1843	0.006051	0.373676	0	0.571	47.01	348020	22.438	1496850	-0.073212	0.251441	-39.382	-39.313	6.36	126.55	837	0.1114	0.1724	0.1863	0.228	7.64	-7.642	1788	1499	1405	0.022064
QC_Shew_12_02_Run-03_11Sep12_Eagle_12-01-12	NULL	NULL	0	NULL	25.68	29.42	14.8	27.09	17.27	0	0	0	0	0	0	24	22	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	-6.246	0	0	0	0
