Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-04_18Jul12_Roc_12-04-09	0.000851	0.012335	22.8408	51.5306	20.75	21.52	15.42	19.46	21.52	5.427	3.708	661	3915	1.79	1.185	0	0	825.4056	0.025856	0.500349	0.102725	1.249	273.45	1295850	171.376	6964700	0.000339	0.011184	0.173	0.174	4.72	100.7	760	0.1735	0.2332	0.2659	0.3243	8.59	-8.585	2297	1809	1620	0.025309
QC_Shew_12_02_Run-04_20Jul12_Roc_12-04-09	0	0.013691	23.374	37.5203	19.78	20.94	15.34	14.9	20.97	6.436	5.212	849	2549	1.759	1.171	0	0	793.0028	0.018482	0.546693	0.132296	1.547	314.05	1226350	1.08E+02	1.26E+07	0.003564	0.007943	1.879	1.88	4.085	120.05	780	0.1822	0.2801	0.302	0.3967	9.18	-9.182	1720	1451	1308	0.021407
QC_Shew_12_02_Run-04_23Aug12_Roc_12-04-09	0	0.003509	22.3165	25.5864	20.95	21.48	16.51	17.71	21.47	7.748	5.722	810	2430	1.674	1.155	0	0	774.9121	0.016753	0.378866	0.069588	4.049	265.8	449220	64.038	5.19E+06	0.00489	0.008097	2.853	2.854	4.95	83.68	823	0.0865	0.1763	0.2111	0.29	8.49	-8.486	1124	977	916	0.015284
QC_Shew_12_02_Run-04_25Aug12_Roc_12-04-09	0	0.003044	16.7361	19.6581	20.96	21.47	15.6	16.48	21.93	9.365	8.667	608	1824	1.763	1.179	9	7	782.667	0.065401	0.261603	0.054852	2.355	315.9	945910	37.057	1.35E+07	0.030249	0.031839	18.556	18.572	2.945	90.965	943	0.0292	0.1025	0.1742	0.2415	7.3	-7.302	644	577	540	0.022222
QC_Shew_12_02_Run-04_27Jul12_Roc_12-04-09	0.002024	0.011471	23.1086	32.1093	21.08	22.36	15.5	20.31	22.1	6.713	3.778	529	1579	1.734	1.154	0	0	768.5924	0.011392	0.659494	0.18481	1.89	305.2	953960	62.427	1.41E+07	0.005316	0.008613	2.732	2.741	3.941	211.2	1011	0.2894	0.3594	0.4016	0.4753	10.58	-10.576	1459	1222	1088	0.017463
QC_Shew_12_02_Run-04_28Aug12_Roc_12-04-09	0	0.001515	20.431	16.2009	20.96	21.47	14.66	15.47	21.47	8.474	5.182	742	2229	1.648	1.158	0	0	660.5821	0.002481	0.506203	0.119107	1.5285	236.1	1141500	121.859	1.37E+07	-3.92E-04	0.006768	-0.192	-0.184	2.24	108.6	1166	0.0536	0.0846	0.1059	0.1813	7.12	-7.119	653	576	549	0.010929
QC_Shew_12_02_Run-04_28Jul12_Roc_12-04-09	0.000546	0.006554	23.1651	39.5854	18.82	20.91	15.36	15.43	20.93	6.059	5.343	841	2526	1.828	1.18	0	0	782.9954	0.011685	0.608569	0.150925	2.072	352.2	961340	124.873	9276900	0.004552	0.008379	2.39	2.401	4.999	130.1	790	0.1969	0.3086	0.3226	0.3976	9.48	-9.475	1795	1505	1353	0.022912
QC_Shew_12_02_Run-04_30Aug12_Roc_12-04-09	0	0	20.778	14.3902	20.95	21.46	14.69	17.65	21.48	8.107	11.2	755	2265	1.862	1.216	0	0	659.846	0.008197	0.472678	0.136612	1.677	432.6	1505600	56.198	1.96E+07	0.001201	0.006479	0.856	0.866	2.351	64.66	1291	0.0303	0.0735	0.1088	0.1713	7.12	-7.122	590	531	510	0.011765
QC_Shew_12_02_Run-04_30Jul12_Roc_12-04-09	0	0.010287	23.0805	40.0771	19.78	20.95	15.51	14.34	20.99	5.922	6.433	838	2517	1.725	1.157	0	0	792.6197	0.019905	0.569668	0.149763	1.959	275.3	890185	105.843	8.88E+06	2.71E-03	0.008412	1.424	1.426	4.919	137.8	808	0.1829	0.3052	0.3327	0.4154	9.36	-9.364	1812	1519	1367	0.021214
QC_Shew_12_02_Run-04_31Jul12_Roc_12-04-09	0.00051	0.014278	23.3791	41.9606	19.85	20.98	14.91	16.73	21.02	5.527	5.447	849	2546	1.748	1.172	20	15	820.8413	0.040816	0.490646	0.122449	2.985	293	636210	129.318	6.28E+06	0.002444	0.007939	1.225	1.229	7.16	116.95	808	0.2468	0.3231	0.3271	0.4176	9.84	-9.844	1915	1580	1390	0.02446
