Filename	XIC_WideFrac	XIC_FWHM_Q1	XIC_FWHM_Q2	XIC_FWHM_Q3	XIC_Height_Q2	XIC_Height_Q3	XIC_Height_Q4	RT_Duration	RT_TIC_Q1	RT_TIC_Q2	RT_TIC_Q3	RT_TIC_Q4	RT_MS_Q1	RT_MS_Q2	RT_MS_Q3	RT_MS_Q4	RT_MSMS_Q1	RT_MSMS_Q2	RT_MSMS_Q3	RT_MSMS_Q4	MS1_TIC_Change_Q2	MS1_TIC_Change_Q3	MS1_TIC_Change_Q4	MS1_TIC_Q2	MS1_TIC_Q3	MS1_TIC_Q4	MS1_Count	MS1_Freq_Max	MS1_Density_Q1	MS1_Density_Q2	MS1_Density_Q3	MS2_Count	MS2_Freq_Max	MS2_Density_Q1	MS2_Density_Q2	MS2_Density_Q3	MS2_PrecZ_1	MS2_PrecZ_2	MS2_PrecZ_3	MS2_PrecZ_4	MS2_PrecZ_5	MS2_PrecZ_more	MS2_PrecZ_likely_1	MS2_PrecZ_likely_multi
QC_Shew_11_06_Run-10_28Mar12_Roc_12-03-16	0	0	0	0	NULL	NULL	NULL	3541.51	0.313187	0.153245	0.191784	0.341784	0.250335	0.249761	0.249761	0.250143	0	0	0	0	1.18602	0.728777	2.32634	0.526456	0.258545	0.459836	4408	1.24564	2257.75	2715.5	2984.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-11_10Apr12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3540.99	0.468606	0.152362	0.15508	0.223951	0.250778	0.249683	0.249684	0.249854	0	0	0	0	1.6614	1.01018	2.5293	1.30586	0.30509	0.745962	4406	1.24564	1861.25	2545.5	2930	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-11_21Mar12_Roc_12-02-42	0	0	0	0	NULL	NULL	NULL	3541.33	0.318721	0.182497	0.203356	0.295426	0.250255	0.24983	0.24983	0.250085	0	0	0	0	1.11348	0.697939	4.24009	0.269775	0.148494	0.275358	4409	1.24564	2583	2958	3196	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-11_28Mar12_Roc_12-03-17	0	0	0	0	NULL	NULL	NULL	3540.91	0.450415	0.126744	0.151912	0.27093	0.250757	0.249878	0.249464	0.249901	0	0	0	0	3.22365	1.11474	3.65065	4.21493	0.45936	0.388963	4402	1.24564	450.25	2665.5	2950	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-12_10Apr12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3540.74	0.396734	0.16575	0.186835	0.250681	0.250767	0.249702	0.249702	0.24983	0	0	0	0	1.64163	0.854585	4.25976	1.39353	0.160486	0.640161	4406	1.24564	1868.75	2492	2898	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-12_21Mar12_Roc_12-02-43	0	0	0	0	NULL	NULL	NULL	3541.47	0.333962	0.175237	0.199266	0.291535	0.250312	0.24982	0.24982	0.250049	0	0	0	0	1.1545	0.69928	4.16422	0.373677	0.173702	0.282415	4409	1.24564	2584	2975	3220	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-12_22Mar12_Roc_12-02-43	0	0	0	0	NULL	NULL	NULL	3541.05	0.307517	0.17231	0.215162	0.305011	0.250327	0.249793	0.249793	0.250088	0	0	0	0	1.20397	0.71987	3.408	0.269542	0.201635	0.36445	4408	1.24564	2164.75	2725	3022	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-12_27Mar12_Roc_12-03-18	0	0	0	0	NULL	NULL	NULL	3540.9	0.44832	0.150552	0.16438	0.236748	0.250966	0.249617	0.249577	0.249841	0	0	0	0	4.39972	1.10277	2.33795	6.55426	0.178944	0.516095	4404	1.24564	121	2929	3185	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-12_28Mar12_Roc_12-03-18	0	0	0	0	NULL	NULL	NULL	3541.5	0.417461	0.147124	0.172742	0.262672	0.250921	0.249624	0.249534	0.249921	0	0	0	0	2.6395	0.894458	3.58777	3.19272	0.219271	0.416293	4404	1.24564	972.25	2717	3010	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-13_10Apr12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3541.07	0.453189	0.153039	0.161199	0.232574	0.250783	0.249678	0.249678	0.249861	0	0	0	0	1.67295	0.938808	2.24167	1.49333	0.273213	0.719358	4406	1.24564	1863	2562	2940	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-13_20Mar12_Roc_12-02-40	0	0	0	0	NULL	NULL	NULL	3541.07	0.214539	0.189692	0.280219	0.31555	0.24999	0.250005	0.250002	0.250002	0	0	0	0	0.744337	0.573876	1.73469	0.167014	0.265395	0.92298	4387	1.23889	50	59	73	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-13_21Mar12_Roc_12-02-40	0	0	0	0	NULL	NULL	NULL	3541.18	0.315119	0.185454	0.207218	0.29221	0.250278	0.249841	0.249841	0.250041	0	0	0	0	1.0261	0.710475	4.17678	0.220705	0.136544	0.293201	4409	1.24564	2590	2973	3204	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-13_22Mar12_Roc_12-02-40	0	0	0	0	NULL	NULL	NULL	3541.32	0.32758	0.171163	0.212649	0.288608	0.250442	0.249774	0.249774	0.25001	0	0	0	0	1.17772	0.708389	3.27311	0.250136	0.223259	0.316435	4408	1.24564	2119	2689	3007.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-13_25Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.09	0.304693	0.194303	0.266173	0.234831	0.25045	0.249794	0.249792	0.249965	0	0	0	0	1.21787	0.802909	2.30435	0.502696	0.377655	0.600352	4408	1.24564	2342.75	2781	3067	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-13_28Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.36	0.429495	0.14577	0.172522	0.252213	0.250913	0.249653	0.249544	0.24989	0	0	0	0	2.28582	0.926959	3.2275	3.54822	0.239965	0.371075	4404	1.24564	671	2680	2976	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-14_10Apr12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541.52	0.458077	0.157099	0.159365	0.225459	0.250766	0.249703	0.249703	0.249828	0	0	0	0	1.63751	0.949583	3.94159	1.12216	0.281112	0.754028	4407	1.24564	1844	2514	2899.5	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-14_20Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3541.46	0.331911	0.254631	0.149523	0.263935	0.250015	0.250023	0.249986	0.249976	0	0	0	0	0.765584	0.593361	1.84387	0.191545	0.350622	1.04231	4388	1.23904	57	86	116	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-14_21Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3541.54	0.325986	0.175913	0.202438	0.295663	0.250271	0.249815	0.249815	0.250098	0	0	0	0	1.1541	0.74455	4.10187	0.358216	0.155701	0.291737	4409	1.24564	2590	2969	3220	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-14_22Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3541.06	0.310203	0.172989	0.204505	0.312303	0.250291	0.249792	0.249792	0.250124	0	0	0	0	1.026	0.690234	3.60667	0.318736	0.194217	0.370829	4408	1.24564	2140	2720	3033.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-14_28Mar12_Roc_12-03-16	0	0	0	0	NULL	NULL	NULL	3541.42	4.38E-01	1.39E-01	0.164356	0.258596	0.250902	0.249635	0.249539	0.249924	0	0	0	0	2.22386	0.926513	3.66392	2.92349	0.24708	0.32942	4404	1.24564	1336.25	2769	3048.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-16_21Mar12_Roc_12-02-43	0	0	0	0	NULL	NULL	NULL	3540.97	0.321332	0.18297	0.204962	0.290735	0.25031	0.249798	0.249798	0.250093	0	0	0	0	1.26035	0.754625	4.20459	0.361944	0.133569	0.346379	4408	1.24564	2595	2993	3223.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-16_27Mar12_Roc_12-03-18	0	0	0	0	NULL	NULL	NULL	3541.03	3.38E-01	1.81E-01	0.197705	0.283641	0.250553	0.249737	0.249737	0.249973	0	0	0	0	1.42686	0.840934	2.1448	0.311204	0.138374	0.419759	4407	1.24564	2415	2926	3164	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
