Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_01_500ng_d_15Jun12_Lynx_12-02-29	0.001512	0.005546	61.3031	32.3638	24.28	30.49	12.23	13.94	29.68	4.062	3.482	1840	16415	2.31	1.376	3	5	815.2856	0.005666	0.515581	0.081344	1.602	458.55	538425	365.576	2192700	-0.012251	0.024442	-6.204	-6.203	4.54	76.53	422	0.0108	0.0447	0.0846	0.2344	6.59	-6.588	3732	2824	2500	0.0776
QC_Shew_12_01_500ng_HCD1_09Jun12_Polaroid_12-02-12	0.006454	0.00753	64.2347	36.1954	22.13	25.55	20.69	13.69	26.1	4.225	3.713	1193	11928	1.564	1.104	5	3	628.3271	0	0.821396	0.233908	2.612	1366	491230	868.19	3508700	0.001113	0.011459	0.712	0.712	19.028	71.85	2331	0.1534	0.1683	0.2152	0.355	6.96	-6.964	4316	3576	3020	0.089404
QC_Shew_12_01_5ng_a_08Jun12_Polaroid_25umAclaim2	0	0.013245	43.9557	1.7518	48.5	31.72	89.31	54.08	41.68	2.273	2.444	542	3252	1.819	1.204	9	10	797.4515	0	0	0	73.1915	336.55	1372.1	30.45	17997	-0.000966	0.008629	-0.665	-0.665	100	67.91	446	0.0005	0.0185	0.043	0.0201	5.94	-5.942	150	86	86	0.011628
QC_Shew_12_01_B_6Jun12_Cougar_12-05-08	0	0	13.3564	0.5241	23.34	24.69	34.81	17.12	24.49	0	0	295	2954	1.144	0.918	0	0	721.8898	0	0	0	29.4115	113.65	15543.5	3.546	28172	0.017061	0.017391	12.341	12.516	100	33.53	277	0	0.0027	0.0022	0.0004	5.97	-5.975	12	12	12	0
QC_Shew_12_01-pt5-03_19Jun12_Cougar_12-05-07	0.000934	0.005069	31.1371	120.3388	15.54	16.91	9.25	9.03	16.75	3.527	3.456	972	9718	1.532	1.099	0	0	893.4852	0.099467	0.689867	0.178667	0.085	199.1	2077100	143.199	7.05E+06	0.006149	0.015343	2.893	2.895	2.772	121.9	766	0.139	0.2747	0.3307	0.3853	8.43	-8.434	7117	5936	4736	0.065456
QC_Shew_12_01-pt5-04_19Jun12_Cougar_12-02-39	0.000649	0.006881	31.6777	121.5682	17.15	18.31	9.41	10.71	17.87	3.495	3.467	979	9790	1.606	1.12	0	0	895.2612	0.090415	0.696891	0.172539	0.089	230.2	2043300	178.392	5824050	0.005535	0.014446	2.611	2.612	3.471	111.95	771	0.165	0.2759	0.3236	0.394	8.6	-8.6	7314	6063	4862	0.064377
QC_Shew_12_02_0pt25_Frac-06_30Jul12_Tiger_12-05-06	0.006731	0.037021	24.2739	97.9653	25.82	25.19	25.37	40.8	25.06	2.742	1.987	805	8047	1.751	1.205	0	0	817.4049	0.069264	0.482184	0.030303	1.062	717.35	780640	160.863	3650800	0.001844	0.014416	1.152	1.152	4.607	114.9	902	0.1034	0.1912	0.2172	0.3158	8.21	-8.206	4254	1543	1255	0.245418
QC_Shew_12_02_1_14Sep12_Cougar_12-06-10	0.001927	0.008865	31.1786	124.7971	15.91	16.66	12.21	14.75	16.77	3.73	3.656	953	9539	1.614	1.14	0	0	895.036	0.125657	0.585284	0.12924	0.406	574.5	3098300	324.389	8447500	0.006159	0.012031	3.051	3.053	1.872	115.4	722	0.165	0.2712	0.3264	0.4233	9.07	-9.066	7489	6133	4940	0.048381
QC_Shew_12_02_1_20Sep12_Cougar_12-06-10	0.001785	0.010198	34.493	113.7332	15	16.02	9.83	13.37	13.84	3.822	4.202	1063	9366	1.665	1.138	30	32	892.469	0.093601	0.621299	0.139446	0.757	633.7	1300700	513.96	3639500	0.004324	0.01263	2.185	2.186	4.08	126.6	748	0.2113	0.2711	0.3418	0.4431	9.43	-9.426	7540	6068	4933	0.052098
QC_Shew_12_02_1_24Aug12_Cougar_12-06-10	0.002359	0.009081	32.1863	131.7331	15.94	16.59	12.02	15.71	16.63	3.716	4.018	974	9736	1.63	1.132	0	0	892.2073	0.108913	0.588913	0.12587	0.632	684.45	2294200	579.543	5611600	0.004237	0.012497	2.135	2.136	2.635	117.2	704	0.2116	0.2953	0.3627	0.458	9.74	-9.735	8141	6771	5436	0.050957
QC_Shew_12_02_1_25Aug12_Cougar_12-06-10	0.010644	0.02409	13.8575	64.4416	16.91	17.79	11.6	19.07	16.91	4.77	4.357	434	4339	1.738	1.136	43	72	746.3767	0.157651	0.192427	0.027048	212.0825	805.6	1544950	9159.793	5410700	-0.002376	0.011887	-1.573	-1.569	4.047	196.05	655	0.0052	0.067	0.1402	0.2492	6.95	-6.953	1713	1289	1088	0.053309
